,iter,sigma,best_fit,mean_fit
0,1.0,1.0,295275.0650167471,98696.87245233399
1,2.0,7.38905609893065,497678.49351402937,93586.68902038134
2,3.0,5.91669359066433,89119.3170946112,91889.05039394485
3,4.0,5.015512514662173,83307.53106900411,87545.86547602563
4,5.0,7.9571752920840355,260645.88747843614,83921.41157133467
5,6.0,6.371607877937164,75600.52455277662,83220.5147112557
6,7.0,11.993088005927136,66846.36505118935,77770.31468584282
7,8.0,16.03748468398665,53949.853667963594,67358.78408256172
8,9.0,20.257943911396573,37645.33928263007,57813.087824382565
9,10.0,36.01896423449798,24442.718536951383,42020.15399152198
10,11.0,38.34881572849903,18645.729999006897,34739.78268058005
11,12.0,43.223389242279296,68948.50832524226,21299.629191321495
12,13.0,34.61058444712502,8824.528983210137,11736.476181017548
13,14.0,115.17339166339073,1612860.819919645,3413.9534958540607
14,15.0,92.22364252566385,21657.222694455617,4939.865211798771
15,16.0,73.84692000352817,12618.953217948663,7548.922968169018
16,17.0,59.13199093703043,26407.189788288997,4615.166995397765
17,18.0,47.34919685221798,5811.52875271268,2473.0502463147104
18,19.0,37.914272917641725,3126.2094803708464,1364.6430194467687
19,20.0,30.359376429551507,1804.0201103862387,1442.9048910725205
20,21.0,24.30988823637283,949.5902530467205,827.3022927507025
21,22.0,20.607210228352667,824.5031736907837,626.3984472891476
22,23.0,17.468493037337137,383.2456327855797,288.4709489630003
23,24.0,14.807838888140925,495.9337753953693,205.97259984326104
24,25.0,11.85719045410048,284.09130955613307,147.33222213267433
25,26.0,9.494495890106386,124.4622281561621,90.20890602180296
26,27.0,8.048374016253621,106.47920838656057,49.36813508993363
27,28.0,6.444634107478045,43.164742123236834,29.93448090828138
28,29.0,5.463041565896866,25.448532777480644,26.56725980651161
29,30.0,4.630956956281874,17.965206659358252,20.34170331286908
30,31.0,3.9256084860878664,12.823761558241253,4.9252116723719475
31,32.0,3.5228110309964618,13.344271908493925,4.938311009447391
32,33.0,2.82084655592679,4.532323534106464,2.640247656288112
33,34.0,2.3911988995874225,3.075082920703231,1.6777340004338994
34,35.0,1.914722396713162,1.8391592918194029,0.8053565006196608
35,36.0,1.5331898392507435,2.006956611223388,0.2601486825420743
36,37.0,1.2276824500600787,1.2416003607381896,0.4872251983006303
37,38.0,0.9830512566676514,0.5461422447641049,0.2086876380467844
38,39.0,0.7871659101981596,0.5825834130635473,0.07814139988772241
39,40.0,0.6303131865967196,0.42190073885489043,0.12654281695808633
40,41.0,0.5047153440596747,0.15303528344228845,0.08991285794186811
41,42.0,0.4041444538146071,0.0759473075347928,0.028705742564394038
42,43.0,0.3425885648424931,0.04681066554279163,0.014244462278369601
43,44.0,0.2743234776809744,0.030868145460062446,0.024491464419967142
44,45.0,0.21966106907737043,0.027752866914452685,0.008259637877686864
45,46.0,0.17589083397494318,0.013473162247666476,0.0038191704692121927
46,47.0,0.14084236959396748,0.013325947704780605,0.0025118280534061756
47,48.0,0.11277775324932274,0.0060017852252366825,0.0025750260434603033
48,49.0,0.0903053652436553,0.0016138045086667343,0.0032179228986168647
49,50.0,0.07655081044510141,0.0025481403948623173,0.0015300864434398393
50,51.0,0.068696111806216,0.0013265961698494008,0.0010259666434629126
51,52.0,0.058232897004562016,0.0009867876150989338,0.0005638012344531346
52,53.0,0.04936335120552027,0.0011415587995530136,0.00021684253326202592
53,54.0,0.039527081643578585,0.0003746512436143513,0.00011568448374116022
54,55.0,0.03165081270015975,0.0002843186967282675,0.00011516396135801421
55,56.0,0.025343989561732245,9.388756270190957e-05,4.04288450179083e-05
56,57.0,0.021483805924799156,9.213249474475534e-05,4.7415547348185296e-05
57,58.0,0.01720288696099241,6.996673529477689e-05,2.997678757723746e-05
58,59.0,0.013774995027816483,3.0929528373415416e-05,1.692006188058831e-05
59,60.0,0.011030153743765715,2.5060637074525713e-05,4.20899784017705e-06
60,61.0,0.008832256662556066,1.7270478519270628e-05,5.498105559983703e-06
61,62.0,0.0070723182618698185,9.396852523473505e-06,4.597481792812334e-06
62,63.0,0.0056630697576107525,6.935350965736153e-06,2.8483992396087626e-06
63,64.0,0.004534631770245952,2.1798240328641403e-06,2.553743630321968e-06
64,65.0,0.003843954743395728,2.4936698568248977e-06,1.6172428758704533e-06
65,66.0,0.0032584758405803447,1.011951966648758e-06,8.402416626893129e-07
66,67.0,0.002924131297380473,1.5456115514845716e-06,5.221745171557778e-07
67,68.0,0.0023414613008521964,9.695176798248662e-07,3.260883235366267e-07
68,69.0,0.0018748956410745987,5.848869903202315e-07,1.963885593417398e-07
69,70.0,0.001501299066374118,9.463963624245313e-08,1.1138541095184318e-07
70,71.0,0.0012726338013398079,1.7517619367250045e-07,4.1653668904982214e-08
71,72.0,0.0010190454849489828,7.920777775460694e-08,2.6240739255149878e-08
72,73.0,0.0008159878350721477,4.5020684024349803e-08,2.5154661393210026e-08
73,74.0,0.0006533919798673803,5.145356619422365e-08,2.9870245618752185e-08
74,75.0,0.0005231953970456774,2.2304475875206588e-08,1.7070347102664176e-08
75,76.0,0.0004970412154488016,1.064559419121693e-08,6.67457090670226e-09
76,77.0,0.0004721944635786874,1.5707394772642004e-08,4.3329619268116964e-09
77,78.0,0.0003781037684376935,1.2085989101005017e-08,3.824086447931632e-09
78,79.0,0.00030276182957185687,7.494392981160889e-09,3.7100385388361807e-09
79,80.0,0.00024243272111370992,2.839863714743417e-09,1.9865117222064784e-09
80,81.0,0.00021755726971768886,4.135360514629848e-09,9.178305762770822e-10
81,82.0,0.0001742062431394137,1.9745697294159914e-09,1.3366417959759373e-09
82,83.0,0.00013949345470334814,1.1171631926452773e-09,9.635027769938743e-10
