FE,N,Eval,sigma,Iteration,Alg
4471,2,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4191,2,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
3975,2,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3583,2,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
3255,2,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
2975,2,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
2727,2,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
2819,5,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
2499,5,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
2539,5,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
2679,5,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
2459,5,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
2479,5,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
3019,5,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
4479,10,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4319,10,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
4079,10,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3839,10,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
3599,10,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
3839,10,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
4119,10,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
17999,30,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
17759,30,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
16319,30,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
14639,30,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
12239,30,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
12839,30,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
14759,30,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
41999,50,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
40799,50,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
40999,50,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
33999,50,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
27399,50,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
27199,50,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
29999,50,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
143599,100,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
149599,100,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
